:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
415155DA-176C-4FD6-9D1D-37E0E7882152;3063;BLUEPRINT-ADT314323;ADT314323;ADT314323;BLUEPRINT-ADT314323;B8E74BED-71B1-446A-8FAE-0002FD87617C;B8E74BED-71B1-446A-8FAE-0002FD87617C;313416;ADT314323;BLT;2140-8146
C45B6442-041B-410A-B998-545445CD54FD;5429;BERUBYDRIV-Z345;Z345;Z345;BERUBYDRIV-Z345;BC1595F6-33A5-4D5E-B4E6-0003190FE6CF;BC1595F6-33A5-4D5E-B4E6-0003190FE6CF;153803;Z345;BBD;2120-3968
3996834A-FB7D-4396-98D3-8FB5C874B8D1;2515;FLENNOR-FL923-B;FL923-B;FL923-B;FLENNOR-FL923-B;FA6A1177-1F29-4184-A979-00031CE31CB2;FA6A1177-1F29-4184-A979-00031CE31CB2;1272015;FL923-B;FLN;1570-115296
2223DBDD-0BDB-4BE1-81E1-929D46AC0202;2136;MEYLE-53-16 010 0005;53-16 010 0005;53-16 010 0005;MEYLE-53-16 010 0005;6B2C515A-54F0-4E10-B6BB-00031DEEA904;6B2C515A-54F0-4E10-B6BB-00031DEEA904;589724;53-16 010 0005;MYE;1570-91101684
B170FE4E-849B-4B24-93E9-4B1CBA2113EF;2136;MEYLE-16-16 010 0010;16-16 010 0010;16-16 010 0010;MEYLE-16-16 010 0010;CFBAC112-85A8-4D0D-98B6-000335164908;CFBAC112-85A8-4D0D-98B6-000335164908;590054;16-16 010 0010;MYE;1570-91103998
AE716804-E3FF-46E5-80E2-9810DABD1B0E;622;QUINTONHAZELL-QSA2301S;QSA2301S;QSA2301S;QUINTONHAZELL-QSA2301S;725FAF70-F85D-49EF-98D6-00033541AF63;725FAF70-F85D-49EF-98D6-00033541AF63;960603;QSA2301S;QUI;1570-26543
028DB2E3-5D61-4847-ABD5-1694B03FFE72;2141;AJUSA-00917400;00917400;00917400;AJUSA-00917400;96E66FC7-B80C-4C25-9964-0003382BE2B1;96E66FC7-B80C-4C25-9964-0003382BE2B1;602607;1610-40383;9AJU;1610-40383
8AFCDB79-6E74-434C-B0DD-B0AF1E57D0A8;2081;OPTIMAL-SK-1188;SK-1188;SK-1188;OPTIMAL-SK-1188;7A21A9A7-84C5-460E-A518-00033DDD950E;7A21A9A7-84C5-460E-A518-00033DDD950E;1226901;SK-1188;OPT;1820-100101
BD8434F5-8F80-4D42-91F0-AB03425A2547;797;FEBIBILSTEIN-24931;24931;24931;FEBIBILSTEIN-24931;382F3116-AF9A-4E56-91A5-000384557EA5;382F3116-AF9A-4E56-91A5-000384557EA5;450610;24931;FEB;1570-21920
1E0DDB21-ECCB-435A-A9AC-0137E71034F7;509;VICTORREINZ-61-52555-00;61-52555-00;61-52555-00;VICTORREINZ-61-52555-00;E0C3EE2C-C444-41C1-B6F6-000385087108;E0C3EE2C-C444-41C1-B6F6-000385087108;451627;61-52555-00;REI;1610-26749
08B24F3A-8BC7-4039-938F-E726C698EDDE;536;VANWEZEL-0640581;0640581;0640581;VANWEZEL-0640581;9C4AD20A-E843-4248-90C1-0003B8AB0D2E;9C4AD20A-E843-4248-90C1-0003B8AB0D2E;136655;20 07 17-1;9VAN;20 07 17-1
1413EA55-EDD1-432C-AD17-E7D669EB3D22;506;LUK-331 0087 12;331 0087 12;331 0087 12;LUK-331 0087 12;8F365F1D-B7CA-4188-93FC-0003EE9BD480;8F365F1D-B7CA-4188-93FC-0003EE9BD480;343872;331 0087 12;LUK;1640-9506
0C00A5FD-13F7-48D1-A760-86BE9CA7300A;2730;LIZARTE-04.23.0150;04.23.0150;04.23.0150;LIZARTE-04.23.0150;B1DA9FE2-2EBB-4C40-A9CA-0004030B9C35;B1DA9FE2-2EBB-4C40-A9CA-0004030B9C35;463069;04.23.0150;LIZ;1570-91113665
F3E95D82-EABB-43B1-8A9D-C71672F326A5;2141;AJUSA-51038400;51038400;51038400;AJUSA-51038400;4DC1002D-5588-4C4D-9722-00040B569A75;4DC1002D-5588-4C4D-9722-00040B569A75;1037469;51038400;AJU;1610-117096
18622E20-C270-431D-8002-FDF6B036CB16;2133;WIXFILTERS-93124E;93124E;93124E;WIXFILTERS-93124E;5E7D2440-3997-4CB1-B580-0004CA0B5D90;5E7D2440-3997-4CB1-B580-0004CA0B5D90;151873;2020-1219;9WIX;2020-1219
F0D8882B-EA1B-4501-9632-9A3B53B9BBDF;2141;AJUSA-52237200;52237200;52237200;AJUSA-52237200;E90CACBA-C17A-456B-BA77-000513C6F409;E90CACBA-C17A-456B-BA77-000513C6F409;1036678;52237200;AJU;1610-116964
01B46E26-1C9D-4470-A30E-42A7DBFFF4D3;547;BREMI-20367;20367;20367;BREMI-20367;61BC3E21-A3AF-4890-A333-00052CF8F064;61BC3E21-A3AF-4890-A333-00052CF8F064;158509;20367;BMI;2140-7377
95C097FE-C543-4AAE-A246-1537C86935FD;613;HERTHBUSSJAKOPARTS-J4848021;J4848021;J4848021;HERTHBUSSJAKOPARTS-J4848021;F5AD7006-F060-4125-A22B-00054C6D8DCB;F5AD7006-F060-4125-A22B-00054C6D8DCB;548980;J4848021;JAK;1570-43020
16C96970-9913-4309-8A47-6BA3E2667DA5;2099;MAPCO-16380;16380;16380;MAPCO-16380;5F301EDA-C32E-4418-BFEF-000555D54C4C;5F301EDA-C32E-4418-BFEF-000555D54C4C;28268;1520-8087;9MAP;1520-8087
98B43D23-5159-4196-B023-F038BD45E870;2141;AJUSA-50040600;50040600;50040600;AJUSA-50040600;62614FA3-F696-433A-A234-00056E0F31E5;62614FA3-F696-433A-A234-00056E0F31E5;616487;1610-14442;9AJU;1610-14442
92789977-C251-4EF0-BEBA-1F0C3EA69889;533;GATES-T42199;T42199;T42199;GATES-T42199;EA17444B-A979-4F0A-8195-0005A8EE14B3;EA17444B-A979-4F0A-8195-0005A8EE14B3;508493;T42199;GAT;1830-9554
EE1DB495-2A88-4230-BB5B-0F1B86A6909D;736;FACET-7.1119;7.1119;7.1119;FACET-7.1119;B136EA14-542F-4DC5-80A1-0005B47F785E;B136EA14-542F-4DC5-80A1-0005B47F785E;1078712;7.1119;FAT;2270-101608
21566033-C64A-49A3-8404-8CA0065DF001;622;QUINTONHAZELL-EM3126;EM3126;EM3126;QUINTONHAZELL-EM3126;0C4C7CBA-FE65-47FC-840E-000611FE4735;0C4C7CBA-FE65-47FC-840E-000611FE4735;635785;1630-1647;9QUI;1630-1647
2B7F1350-E815-44A4-9907-79C72EA09A08;2110;JOHNS-13 12 37-85;13 12 37-85;13 12 37-85;JOHNS-13 12 37-85;84E54A03-C1FD-4CE9-97F8-00067FC6BA7D;84E54A03-C1FD-4CE9-97F8-00067FC6BA7D;1084257;13 12 37-85;JO;1130-103166
17EA5FCE-D066-4AB0-AC5C-7AA3282A0F2B;541;BOSAL-185-483;185-483;185-483;BOSAL-185-483;FC3DC008-4856-4BAB-B462-0006BB498AF4;FC3DC008-4856-4BAB-B462-0006BB498AF4;111817;1220-14833;9BOL;1220-14833
5446B789-320E-4F13-BB19-7922A1C0CFAC;2499;BRINK-580500;580500;580500;BRINK-580500;46E783A9-EE77-4365-9377-0006CA00E544;46E783A9-EE77-4365-9377-0006CA00E544;415239;580500;BRK;2330-7877
D6388A93-A603-4686-97A9-EC29C5C1FA78;3034;EUROTEC-11040704;11040704;11040704;EUROTEC-11040704;3BB90671-990A-4C94-8BC7-0006E12F3D37;3BB90671-990A-4C94-8BC7-0006E12F3D37;1161863;11040704;EUE;2250-100594
62BBD545-91E1-4DB3-A3E4-461D53C8FDD8;1961;NISSENS-96197;96197;96197;NISSENS-96197;914E20C6-FADF-481C-BA6B-000714F141B9;914E20C6-FADF-481C-BA6B-000714F141B9;51549;96197;NIS;1710-29052
328E39F0-A947-4A32-A752-5AE944F2C65D;2044;NK-221976;221976;221976;NK-221976;5B480496-F2BC-4F79-99AD-00071FE229C8;5B480496-F2BC-4F79-99AD-00071FE229C8;179675;1410-35530;9NK;1410-35530
7F64E63B-EC94-4AB7-80D1-58B82AC5F02A;3279;KLARIUS-260776;260776;260776;KLARIUS-260776;C6A43284-A6CF-4894-AEE6-000755CC3B67;C6A43284-A6CF-4894-AEE6-000755CC3B67;1214001;260776;TEH;1220-107735
