Genart-Nr	Genart-Desc-DE	Genart-Desc-EN	BauGruppe-DE	BauGruppe-EN	ART-Bezeichng-DE	ART-Bezeichng-EN	Verwendungszweck-DE	Verwendungszweck-EN	K24-Bezeichng	IsUniversalGenericArticle	IsDangerousGoods	IsHazardousSubstance	DataSupplier:Link
6476	Demontagewerkzeug, Klebegewicht	Disassembly Tool, adhesive weight	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeug	Disassembly Tool	Klebegewicht	Adhesive weight	Werkzeuge sonstiges	1	0	0	Tec Doc
4494	Demontagewerkzeug, Kombi-Instrument	Disassembly Tool, instrument cluster	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeug	Disassembly Tool	Kombi-Instrument	Instrument Cluster	Werkzeuge sonstiges	0	0	0	Tec Doc
8968	Demontagewerkzeug, Steckverbinder	Disassembly Tool, plug connector	Werkzeug, Universal	Tool, universal	Demontagewerkzeug	Disassembly Tool	Steckverbinder	Plug Connector	Handwerkzeuge	1	0	0	Tec Doc
7897	Demontagewerkzeug, Türgriff	Removal Tool, door handle	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeug	Disassembly Tool	Türgriff	Door Handle	Werkzeuge sonstiges	1	0	0	Tec Doc
8883	Demontagewerkzeug, Türgriff	Removal Tool, door handle	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeug	Disassembly Tool	Türgriff	Door Handle	Werkzeuge sonstiges	0	0	0	Tec Doc
6586	Demontagewerkzeugsatz, Airbag	Disassembly Tool Set, airbag	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeugsatz	Disassembly Tool Set	Airbag	Airbag	Werkzeuge sonstiges	1	0	0	Tec Doc
8847	Demontagewerkzeugsatz, Airbag	Disassembly Tool Set, airbag	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeugsatz	Disassembly Tool Set	Airbag	Airbag	Werkzeuge sonstiges	0	0	0	Tec Doc
6485	Demontagewerkzeugsatz, Bremsleuchte	Disassembly Tool Set, brake light	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeugsatz	Disassembly Tool Set	Bremsleuchte	Stop Light	Werkzeuge sonstiges	1	0	0	Tec Doc
6885	Demontagewerkzeugsatz, Common-Rail-Injektor	Disassembly Tool Set, common rail injector	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeugsatz	Disassembly Tool Set	Common-Rail-Injektor	Common Rail Injector	Werkzeuge sonstiges	1	0	0	Tec Doc
4519	Demontagewerkzeugsatz, Common-Rail-Injektor	Disassembly Tool Set, common rail injector	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeugsatz	Disassembly Tool Set	Common-Rail-Injektor	Common Rail Injector	Werkzeuge sonstiges	0	0	0	Tec Doc
