EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;5312;PEUGEOT;ION;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;82;Bremsscheibe;Bremsanlage;DI-696C;4653930;NULL;JPP;156
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;124;Seilzug, Feststellbremse;Bremsanlage;HK-3596;4355160;NULL;OPT;129
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;124;Seilzug, Feststellbremse;Bremsanlage;HK-3601;4355165;NULL;OPT;129
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;3314;Ladeluftschlauch;Luftversorgung;43SKV391;4679401;NULL;ESN;4969
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;5754;PIAGGIO;PORTER Pritsche/Fahrgestell;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;82;Bremsscheibe;Bremsanlage;DI-696C;4653930;NULL;JPP;156
Elektromotor;5755;PIAGGIO;PORTER Kasten;124;Seilzug, Feststellbremse;Bremsanlage;HK-3596;4355160;NULL;OPT;129
