EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OPENPARTS-BY055L1.30;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;EUROREPAR-1609232280;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GS-SMF012;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SAFA-S45-J;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-54584;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT040RDJBL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-EFB040RDJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT050RHN;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045D;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CA530;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJ-EFB;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SL550;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJBL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DETA-DB454;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MOTAQUIP-VSMF012;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT045RCJBL;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCN;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SONNAK-SA530;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CB500;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CIAKSTARTER1-CS45DA;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PLATINUM-AFB158E;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;NPS-U540L09B;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CONTINENTAL-2800012019280;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX5053;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045B;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MCHANIX-MCX-46B24L;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;TECHNIKA-TKA55;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CENTRA-CL550;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OPENPARTS-BY050L1.00;NULL;Starterbatterie;NULL;NULL
