LongDesignation;PassengerCarNo
KIA OPTIMA (FSGDS6B) 2.0 CVVT Hybrid;53380
KIA OPTIMA (FSGDS6B) 2.0 CVVT Hybrid;57469
KIA OPTIMA (FSGDS6B) 2.4 Hybrid;32002
KIA OPTIMA (JF) 2.0 GDI Hybrid;122965
KIA OPTIMA (JF) 2.0 GDI Hybrid;122966
KIA OPTIMA Sportswagon (JF) 2.0 GDi Hybrid;128041
KIA OPTIMA Sportswagon (JF) 2.0 GDI Hybrid;134129
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid;141583
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid;141582
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid AWD;143000
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid AWD;141585
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid AWD;143001
KIA SORENTO IV (MQ4, MQ4A) 1.6 T-GDi Hybrid AWD;141584
KIA SOUL II (PS) EV Electric;127078
KIA SOUL II (PS) EV Electric;108081
KIA SOUL II (PS) EV Electric;121827
KIA SOUL III (SK3) E-SOUL;135339
KIA SOUL III (SK3) E-SOUL;136367
KIA SOUL III Cargo (SK3) E-SOUL;141349
KIA SOUL III Cargo (SK3) E-SOUL;140808
KIA XCEED (CD) 1.6 GDI Hybrid;139293
KIA XCEED (CD) 1.6 GDI Hybrid;139292
KIA XCEED Van (CD) 1.6 GDI Hybrid;141398
KIA XCEED Van (CD) 1.6 GDI Hybrid;141400
KOENIGSEGG REGERA Coupe 5.0 Hybrid;132897
KREIDLER MOTORCYCLES E-FLORETT e-Florett 1.0;119517
KREIDLER MOTORCYCLES E-FLORETT e-Florett 3.0;119518
KTM MOTORCYCLES FREERIDE Freeride E-XC;115063
KTM MOTORCYCLES SX Freeride E-SX;101653
LAND ROVER DEFENDER Station Wagon (L663) 2.0 P400e Hybrid 4x4;141917
LAND ROVER DEFENDER Station Wagon (L663) 2.0 P400e Hybrid 4x4;141916
LAND ROVER DEFENDER Van (L663) 2.0 P400e Hybrid 4x4;142092
LAND ROVER DEFENDER Van (L663) 2.0 P400e Hybrid 4x4;142091
LAND ROVER DISCOVERY SPORT (L550) 1.5 P300e Hybrid 4x4;139677
LAND ROVER DISCOVERY SPORT (L550) 1.5 P300e Hybrid 4x4;139678
LAND ROVER RANGE ROVER EVOQUE (L551) 1.5 P300e Hybrid 4x4;139607
LAND ROVER RANGE ROVER EVOQUE (L551) 1.5 P300e Hybrid 4x4;139606
LAND ROVER RANGE ROVER IV (L405) 2.0 P400e Hybrid 4x4;129658
LAND ROVER RANGE ROVER IV (L405) 2.0 P400e Hybrid 4x4;135158
LAND ROVER RANGE ROVER IV (L405) 3.0 SDV6 Hybrid 4x4;100017
LAND ROVER RANGE ROVER IV (L405) 3.0 SDV6 Hybrid 4x4;116829
LAND ROVER RANGE ROVER IV (L405) 3.0 SDV6 Hybrid 4x4;115831
LAND ROVER RANGE ROVER SPORT (L494) 2.0 P400e PHEV 4x4;135161
LAND ROVER RANGE ROVER SPORT (L494) 2.0 P400e PHEV 4x4;129659
LAND ROVER RANGE ROVER SPORT (L494) 3.0 SDV6 Hybrid 4x4;111222
LAND ROVER RANGE ROVER SPORT (L494) 3.0 SDV6 Hybrid 4x4;100338
LAND ROVER RANGE ROVER SPORT (L494) 3.0 SDV6 Hybrid 4x4;116835
LAND ROVER RANGE ROVER VELAR (L560) 2.0 P400 Hybrid 4x4;141978
LAND ROVER RANGE ROVER VELAR (L560) 2.0 P400 Hybrid 4x4;141977
LEXUS CT (ZWA10_) 200h (ZWA10_);53026
LEXUS CT (ZWA10_) 200h (ZWA10_);778
LEXUS ES (_V6_) 300h (ASV60_, AVV60_);58738
LEXUS ES (_Z10_, _A10_, _H10_) 300h (AXZH10);134084
LEXUS GS (_L1_) 300h (AWL10_);100021
LEXUS GS (_L1_) 450h (GWL10);133036
LEXUS GS (_L1_) 450h (GWL10_);15963
LEXUS GS (_L1_) 450h (GWL10_);54903
LEXUS GS (_L1_) 450h (GWL10_);56458
LEXUS GS (_L1_) 450h 4WD (GWL10_);126084
LEXUS GS (_S19_) 450h (GRS191_, GWS191_);11998
LEXUS GS (_S19_) 450h (GRS191_, GWS191_);19338
LEXUS IS III (_E3_) 300h (AVE30_);58983
LEXUS IS III (_E3_) 300h (AVE30_);126450
LEXUS LC (_Z10_) 500h (GWZ100_);124901
LEXUS LS (_F4_) 600h AWD (UVF45, UVF46);24546
LEXUS LS (_F4_) 600h AWD (UVF45, UVF46);50431
LEXUS LS (_F5_) 500h (GVF50);134559
LEXUS LS (_F5_) 500h (GVF50_);129644
LEXUS LS (_F5_) 500h AWD (GVF55_);129645
LEXUS NX (_Z1_) 300h (AYZ10_);106913
LEXUS NX (_Z1_) 300h (AYZ10_);142231
LEXUS NX (_Z1_) 300h (AYZ10_);124795
LEXUS NX (_Z1_) 300h AWD (AYZ15);134558
LEXUS NX (_Z1_) 300h AWD (AYZ15);133468
LEXUS NX (_Z1_) 300h AWD (AYZ15_);106914
LEXUS NX (_Z1_) 300h AWD (AYZ15_);124790
LEXUS RC (_C1_) 300h (AVC10_);101174
LEXUS RX (_L1_) 450h (GYL10_);33014
LEXUS RX (_L1_) 450h AWD (GYL15_);31710
LEXUS RX (_L2_) 450h (GYL20_);125909
LEXUS RX (_L2_) 450h AWD (GYL25_, GYL25, GYL26);117678
LEXUS RX (_L2_) 450h AWD (GYL25_, GYL26_);117621
LEXUS RX (_U3_) 400h (MHU38_);19209
LEXUS RX (_U3_) 400h AWD (MHU38_);19210
LEXUS UX (_AA1_, _AH1_, _MA1_) 250h (MZAH10);134439
LEXUS UX (_AA1_, _AH1_, _MA1_) 250h (MZAH10);134400
LEXUS UX (_AA1_, _AH1_, _MA1_) 250h E-Four (MZAH15);134396
LEXUS UX (_AA1_, _AH1_, _MA1_) 250h E-Four (MZAH15);134399
LEXUS UX (_AA1_, _AH1_, _MA1_) 300e (KMA10);140369
LIGIER PULSE 3 Threewheeler Electric;141702
LIGIER PULSE 4 Pritsche/Fahrgestell Electric;141521
MAN TGE Kasten eTGE (35V, UXB);134086
MAXUS eDELIVER 3 Kasten Electric;140865
MAXUS V80 Kasten EV80;140806
MAXUS V80 Pritsche/Fahrgestell EV80;140807
MAZDA MX-30 (DR) e-SKYACTIV;141883
MAZDA MX-30 (DR) e-SKYACTIV (DR1W);138574
MCLAREN P1 3.8 Hybrid;101175
MCLAREN P1 3.8 Hybrid;107365
MCLAREN Speedtail 4.0 Hybrid;140074
MEGA e-Worker electric;112054
MERCEDES-BENZ A-KLASSE (W169) E-CELL (169.090);6438
MERCEDES-BENZ A-KLASSE (W177) A 250 e (177.086);137525
MERCEDES-BENZ A-KLASSE (W177) A 250 e (177.086);140737
MERCEDES-BENZ A-KLASSE Stufenheck (V177) A 250 e (177.186);140736
MERCEDES-BENZ A-KLASSE Stufenheck (V177) A 250 e (177.186);137526
MERCEDES-BENZ B-KLASSE Sports Tourer (W245) F-CELL (242.890);54934
MERCEDES-BENZ B-KLASSE Sports Tourer (W246, W242) Electric Drive / B 250 e (242.890);108181
MERCEDES-BENZ B-KLASSE Sports Tourer (W246, W242) Electric Drive / B 250 e (242.890);109338
MERCEDES-BENZ B-KLASSE Sports Tourer (W247) B 250 e (247.086);140775
MERCEDES-BENZ B-KLASSE Sports Tourer (W247) B 250 e (247.086);140774
MERCEDES-BENZ C-KLASSE (W205) C 300 BlueTEC Hybrid / h (205.012);106292
MERCEDES-BENZ C-KLASSE (W205) C 300 de (205.013);139281
MERCEDES-BENZ C-KLASSE (W205) C 300 de (205.013);136360
MERCEDES-BENZ C-KLASSE (W205) C 300 e (205.053);139283
MERCEDES-BENZ C-KLASSE (W205) C 300 e (205.053);137148
MERCEDES-BENZ C-KLASSE (W205) C 300 e 4-matic (205.054);137149
MERCEDES-BENZ C-KLASSE (W205) C 350 e (205.047);110030
MERCEDES-BENZ C-KLASSE (W205) C 350 e (205.047);110027
MERCEDES-BENZ C-KLASSE T-Model (S205) C 300 BlueTEC Hybrid / h (205.212);108007
MERCEDES-BENZ C-KLASSE T-Model (S205) C 300 de (205.213);140439
