Genart-Nr;Genart-DE;Genart-EN;Subcategory;Std-Desc;AssemblyGroup-DE;AssemblyGroup-EN;IsUniversalGenericArticle;IsDangerousGoods;IsHazardousSubstance
7079;Bügel-Gehörschutz;Hearing Protection Bracket;Arbeitsschutz, Bekleidung;Bügel-Gehörschutz;Schutzkleidung/-ausrüstung;Protective Clothing/Equipment;1;0;0
8521;Bügelhaken, Schlagabzieher;Hooked Impact Puller;Handwerkzeuge;Haken;Werkzeug, Universal;Tool, universal;1;0;0
5830;Bügelmessschraube;Micrometer;Handwerkzeuge;Bügelmessschraube;Werkzeug, Universal;Tool, universal;1;0;0
6054;Bügelmutter;Lifting Nut;DIN / Normteile sonstiges;Mutter;Normteile;Standard Parts;1;0;0
7615;Bügelschloss;U-Lock;Zubehör sonstiges;Schloss;Zubehör, Universal;Accessories, universal;1;0;0
11353;Bügelschraube;Strap bolt;DIN / Normteile sonstiges;Bügelschraube;NULL;NULL;0;0;0
11402;Bundbolzen;Collar bolt;DIN / Normteile sonstiges;Bundbolzen;NULL;NULL;1;0;0
3630;Bundschraube, Gelenkwelle;Collar screw, propshaft;Kardanwelle / -teile;Schraube;Achsantrieb;Axle Drive;0;0;0
5415;Bunsenbrenner;Bunsen Burner;Werkstattaus-/einrichtung sonstiges;Bunsenbrenner;Werkstattausrüstung;Workshop Equipment;1;0;0
8044;Bürostuhl;Office Chair;Werkstattaus-/einrichtung sonstiges;Bürostuhl;Werkstattausrüstung;Workshop Equipment;1;0;0
5456;Bürste, Hochdruckreiniger;Brush, high pressure cleaner;Werkstattaus-/einrichtung sonstiges;Bürste;Werkstattausrüstung;Workshop Equipment;1;0;0
12487;Bürsten;Brushes;Zubehör sonstiges;Bürsten;NULL;NULL;1;0;0
7950;Bürsten-/Düsen-Set, Saug-/Blaspistole;Brush/Nozzle Set, suction/blast gun;Werkstattaus-/einrichtung sonstiges;Bürsten-/Düsen-Set;Werkstattausrüstung;Workshop Equipment;1;0;0
