EngineType;CarNr;CarMake;TD-GenartNr;TD-Genart;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Full Hybrid;108869;BMW;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-0419.2;657461;1410-5432;ATE;3
Full Hybrid;108869;BMW;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-0419.2;665226;1410-18119;BKL;3
Elektromotor;129541;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0522.2;1682874;1410-111462;ATE;3
Mild Hybrid;10587;BMW;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-0419.2;657461;1410-5432;ATE;3
Mild Hybrid;10587;BMW;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-0419.2;665226;1410-18119;BKL;3
Elektromotor;13514;PEUGEOT;1502;Zubehörsatz, Bremsbacken;Bremsanlage;03.0137-9055.2;655235;1440-21760;ATE;3
Elektromotor;58953;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;666389;1410-20094;BKL;3
Elektromotor;58953;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;660183;1410-12924;ATE;3
Elektromotor;141189;MERCEDES-BENZ;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-4009.2;665228;1410-18121;BKL;3
Elektromotor;141189;MERCEDES-BENZ;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-4009.2;661474;1410-15464;ATE;3
Plug-In Hybrid;129185;PORSCHE;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3054.2;1682889;1410-112953;ATE;3
Elektromotor;27776;CITROËN;70;Bremsbackensatz;Bremsanlage;03.0137-0341.2;664453;1410-18091;BKL;3
Elektromotor;27776;CITROËN;70;Bremsbackensatz;Bremsanlage;03.0137-0341.2;656322;1410-5369;ATE;3
Plug-In Hybrid;122828;PORSCHE;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3054.2;1682889;1410-112953;ATE;3
Elektromotor;58959;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;660183;1410-12924;ATE;3
Elektromotor;58959;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;666389;1410-20094;BKL;3
Plug-In Hybrid;129186;PORSCHE;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3054.2;1682889;1410-112953;ATE;3
Elektromotor;59486;MERCEDES-BENZ;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-4009.2;665228;1410-18121;BKL;3
Elektromotor;59486;MERCEDES-BENZ;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-4009.2;661474;1410-15464;ATE;3
Elektromotor;112395;CITROËN;70;Bremsbackensatz;Bremsanlage;03.0137-0525.2;1682876;1410-112949;ATE;3
Elektromotor;23825;CITROËN;1502;Zubehörsatz, Bremsbacken;Bremsanlage;03.0137-9055.2;655235;1440-21760;ATE;3
Elektromotor;23825;CITROËN;1502;Zubehörsatz, Bremsbacken;Bremsanlage;03.0137-9055.2;662424;1440-45821;BKL;3
Elektromotor;30344;RENAULT;1502;Zubehörsatz, Bremsbacken;Bremsanlage;03.0137-9027.2;655183;1440-21744;ATE;3
Elektromotor;108894;NISSAN;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3012.2;661816;1410-14903;ATE;3
Full Hybrid;3977;MERCEDES-BENZ;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-4006.2;661819;1410-14906;ATE;3
Elektromotor;6404;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;660183;1410-12924;ATE;3
Elektromotor;6404;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;666389;1410-20094;BKL;3
Elektromotor;58958;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;660183;1410-12924;ATE;3
Elektromotor;58958;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0487.2;666389;1410-20094;BKL;3
Elektromotor;9830;MITSUBISHI;70;Bremsbackensatz;Bremsanlage;03.0137-0525.2;1682876;1410-112949;ATE;3
Elektromotor;127352;SMART;70;Bremsbackensatz;Bremsanlage;03.0137-0531.2;1682882;1410-111469;ATE;3
Full Hybrid;55584;TOYOTA;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3050.2;2681135;1410-134726;ATE;3
Full Hybrid;57469;KIA;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3049.2;1682886;1410-112951;ATE;3
Elektromotor;133268;FIAT;70;Bremsbackensatz;Bremsanlage;03.0137-0493.2;661978;1410-15259;ATE;3
Plug-In Hybrid;138693;PORSCHE;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-3054.2;1682889;1410-112953;ATE;3
Mild Hybrid;5752;BMW;1419;Bremsbackensatz, Feststellbremse;Bremsanlage;03.0137-0419.2;657461;1410-5432;ATE;3
