EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr;ImportVersionNo;Manufacturer:Link;Manufacturer:Link
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OPENPARTS-BY050L1.00;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3172
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU045RCJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;STARTCRAFT-ENY 54523;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003820
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;HEMAN-TJ54610;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;5159
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;FEBEST-0210-B30;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;3863
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;HEMAN-TJ54620;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;5159
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;LOEBRO-306800;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;811
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;SPIDAN-36621;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;501
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;URW-21-01168;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;2192
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;DENCKERMANN-C120266;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;3503
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;FENOX-CV16139;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;2600
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;GSP-641176;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;3166
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;GSP-641175;NULL;Gelenksatz, Antriebswelle;NULL;NULL;20210401;NULL;3166
Elektromotor;650;NISSAN;LEAF (ZE0);Schmierung;Ölfilter;BORGBECK-NOBFO;NULL;Ölfilter;NULL;NULL;20210401;NULL;1847
Elektromotor;650;NISSAN;LEAF (ZE0);Luftversorgung;Luftfilter;BORGBECK-NOBFA;NULL;Luftfilter;NULL;NULL;20210401;NULL;1847
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Hydraulikpumpe, Lenkung;SERVOTEC-STSP000;NULL;Hydraulikpumpe, Lenkung;NULL;NULL;20210401;NULL;1002534
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;PROTECHNIC-PRA792;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3619
