LongDesignation;PassengerCarNo
PEUGEOT 106 Van II Kasten/Schrägheck (1S_) Electric;13514
PEUGEOT 2008 II (UD_, US_, UY_, UK_) e-2008;137598
PEUGEOT 208 II (UB_, UP_, UW_, UJ_) e-208;136533
PEUGEOT EXPERT Kasten (V_) E-EXPERT;141357
PEUGEOT EXPERT Pritsche/Fahrgestell (V_) E-EXPERT;141534
PEUGEOT ION Electric;686
PEUGEOT ION Electric;5312
PEUGEOT ION Electric;112396
PEUGEOT MOTORCYCLES SCOOTELEC Scoot´Elec;115341
PEUGEOT MOTORCYCLES VIVACITY Vivacity E;109127
PEUGEOT PARTNER Großraumlimousine (5_, G_) Electric;30345
PEUGEOT PARTNER Kasten/Großraumlimousine (5_, G_) Electric;27833
PEUGEOT PARTNER Kasten/Großraumlimousine Électrique;53379
PEUGEOT PARTNER ORIGIN Kasten/Großraumlimousine (G_) Electric;137781
PEUGEOT PARTNER TEPEE Électrique;135338
PEUGEOT TRAVELLER Bus (V_) E-TRAVELLER;141358
PIAGGIO APE CALESSINO Cabriolet Elektro;9526
PIAGGIO APE TM Pritsche/Fahrgestell Electric;133338
PIAGGIO PORTER Bus Elektro;9458
PIAGGIO PORTER Bus Elektro;9492
PIAGGIO PORTER Kasten ELECTRO;5755
PIAGGIO PORTER Kasten Elektro;9450
PIAGGIO PORTER Kipper Elektro;9414
PIAGGIO PORTER Pritsche/Fahrgestell ELECTRIC;5754
PIAGGIO PORTER Pritsche/Fahrgestell Elektro;9436
POLESTAR POLESTAR 2 (P) EV;139223
PORSCHE TAYCAN (Y1A) 4S;139256
PORSCHE TAYCAN (Y1A) Turbo;139257
PORSCHE TAYCAN (Y1A) Turbo S;139258
RENAULT CLIO I (B/C57_, 5/357_) Electric;30431
RENAULT FLUENCE (L3_) Z.E.;9245
RENAULT KANGOO (KC0/1_) Elect'road RE;31117
RENAULT KANGOO Rapid (FW0/1_) Z.E. (FW0Z, FW1Z);8476
RENAULT MASTER III Kasten (FV) Z.E. (FV1Z);132371
RENAULT MASTER III Pritsche/Fahrgestell (EV, HV, UV) Z.E. (EV1Z, UV1Z);132372
RENAULT RAPID Kasten/Großraumlimousine (F40_, G40_) Electric;30344
RENAULT TWINGO III (BCM_) Z.E:;142011
RENAULT TWIZY (MAM_) 45;20091
RENAULT TWIZY (MAM_) 80;19805
RENAULT TWIZY (MAM_) 80;121500
RENAULT TWIZY (MAM_) 80 (MAMA);140752
RENAULT ZOE (BFM_) R110;134065
RENAULT ZOE (BFM_) ZOE;139120
RENAULT ZOE (BFM_) ZOE;139121
RENAULT ZOE (BFM_) ZOE;139122
RENAULT ZOE (BFM_) ZOE;125941
RENAULT ZOE (BFM_) ZOE;132150
RENAULT ZOE (BFM_) ZOE;55132
RENAULT ZOE (BFM_) ZOE (BFMC, BFMD);137713
RENAULT ZOE (BFM_) ZOE R75;134064
RENAULT ZOE Kasten/Schrägheck (BFM_) Electric (BFMA, BFMB);143197
RENAULT ZOE Kasten/Schrägheck (BFM_) Electric (BFMC, BFMD);143200
RENAULT ZOE Kasten/Schrägheck (BFM_) Electric (BFME);143198
RENAULT ZOE Kasten/Schrägheck (BFM_) Electric (BFMF);143199
REVA i Electric;34885
REX MOTORCYCLES E-REX E-Rex;119416
SEAT Mii (KF1, KE1) electric;137676
SFM MOTORCYCLE MADASS MadAss E;118947
SKODA E-CITIGO (NE1) e iV;140638
SKODA ENYAQ iV SUV (5AC, 5AZ) 50;142228
SKODA ENYAQ iV SUV (5AC, 5AZ) 60;142229
SKODA ENYAQ iV SUV (5AC, 5AZ) 80;142230
SMART FORFOUR Schrägheck (453) electric drive (453.091);127353
SMART FORFOUR Schrägheck (453) electric drive / EQ (453.091);127352
SMART FORTWO Cabrio (451) electric drive (451.490);58959
SMART FORTWO Cabrio (451) electric drive (451.490, 451.491);58957
SMART FORTWO Cabrio (451) electric drive (451.490, 451.491);6404
SMART FORTWO Cabrio (451) electric drive (451.491);58956
SMART FORTWO Cabrio (451) electric drive Brabus (451.492);58955
SMART FORTWO Cabriolet (453) electric drive (453.491);129541
SMART FORTWO Cabriolet (453) electric drive / EQ (453.491);127355
SMART FORTWO Coupe (451) electric drive (451.390);58958
SMART FORTWO Coupe (451) electric drive (451.390, 451.391);58953
SMART FORTWO Coupe (451) electric drive (451.391);58952
SMART FORTWO Coupe (451) electric drive (451.391, 451.390);6397
SMART FORTWO Coupe (451) electric drive Brabus (451.392);58954
SMART FORTWO Coupe (453) electric drive (453.391);127350
SMART FORTWO Coupe (453) electric drive / EQ (453.391);127348
STREETSCOOTER COMPACT Elektro;100785
STREETSCOOTER WORK Kasten Electric (D17);141738
STREETSCOOTER WORK Kasten Elektro;132363
STREETSCOOTER WORK Kasten Elektro (B14);132362
STREETSCOOTER WORK Kasten Elektro (B14);100786
STREETSCOOTER WORK Kasten Elektro (B16C, B16);136274
STREETSCOOTER WORK L Kasten Elektro (D16A);136277
